Year	Clutch	EggSurvival	IncTemp	EggID	Egg.Mass
2019	1	1	32	1-1	11.9949
2019	1	0	32	1-2	11.6082
2019	1	1	24	1-3	11.7238
2019	1	0	24	1-4	11.4966
2019	1	1	28	1-5	11.5511
2019	1	1	30	1-6	9.8194
2019	1	1	26	1-7	11.7527
2019	1	1	26	1-8	10.9147
2019	1	0	30	1-9	10.5901
2019	2	0	30	2-1	11.5925
2019	2	1	30	2-2	12.736
2019	2	0	26	2-3	12.1197
2019	2	1	26	2-4	12.8106
2019	2	1	28	2-5	13.7422
2019	2	1	24	2-6	12.1996
2019	2	0	32	2-7	13.0971
2019	3	1	32	3-1	12.8242
2019	3	1	26	3-2	12.7036
2019	3	1	30	3-3	13.3475
2019	3	1	28	3-4	12.9516
2019	3	1	30	3-5	11.7062
2019	3	1	24	3-6	13.783
2019	3	1	28	3-7	10.3004
2019	3	1	32	3-8	12.1754
2019	3	1	24	3-9	11.975
2019	3	1	26	3-10	11.6321
2019	4	1	32	4-1	10.0909
2019	4	1	30	4-2	11.0535
2019	4	0	26	4-3	10.7075
2019	4	1	24	4-4	10.4226
2019	4	1	28	4-5	11.0899
2019	4	1	32	4-6	10.3178
2019	4	1	28	4-7	10.0365
2019	4	1	24	4-8	10.7478
2019	4	1	26	4-9	11.1504
2019	5	1	30	5-1	7.5087
2019	5	1	24	5-2	8.5356
2019	6	0	30	6-1	11.8828
2019	6	1	28	6-2	11.757
2019	6	0	26	6-3	12.0035
2019	6	1	24	6-4	10.2781
2019	6	1	32	6-5	11.7117
2019	7	1	24	7-1	13.6861
2019	7	1	28	7-2	9.7914
2019	7	1	30	7-3	12.7445
2019	7	1	32	7-4	13.6449
2019	7	1	26	7-5	13.5954
2019	7	0	32	7-6	12.5607
2019	7	1	28	7-7	10.0275
2019	7	1	24	7-8	9.2667
2019	8	1	30	8-1	13.2592
2019	8	1	28	8-2	12.7996
2019	8	1	24	8-3	13.246
2019	8	1	32	8-4	11.905
2019	8	1	26	8-5	12.2784
2019	8	1	24	8-6	12.8259
2019	8	1	28	8-7	11.0394
2019	8	1	26	8-8	13.1754
2019	9	1	32	9-1	12.8039
2019	9	1	30	9-2	13.5798
2019	9	1	26	9-3	13.5647
2019	9	1	28	9-4	14.014
2019	9	1	24	9-5	14.1475
2019	9	1	24	9-6	14.114
2019	9	1	32	9-7	13.9216
2019	10	1	28	10-1	9.1838
2019	10	1	24	10-2	7.2893
2019	10	1	32	10-3	7.6059
2019	10	1	26	10-4	8.7917
2019	10	1	30	10-5	9.3882
2019	10	1	24	10-6	9.3173
2019	10	1	26	10-7	9.519
2019	10	1	30	10-8	10.6964
2019	10	1	32	10-9	7.7865
2019	11	1	30	11-1	9.1186
2019	11	1	28	11-2	9.0694
2019	11	1	26	11-3	11.5389
2019	11	1	32	11-4	11.5217
2019	11	1	24	11-5	9.665
2019	11	1	32	11-6	9.2204
2019	11	0	24	11-7	11.8331
2019	11	1	26	11-8	11.265
2019	11	1	30	11-9	9.5655
2020	2	1	32	2-1	8.5549
2020	2	1	28	2-2	9.2598
2020	2	1	24	2-3	9.595
2020	2	1	26	2-4	10.0107
2020	2	1	30	2-5	9.6616
2020	2	1	30	2-6	8.4879
2020	2	1	28	2-7	9.7412
2020	2	1	26	2-8	9.9379
2020	3	1	28	3-1	13.1803
2020	3	1	30	3-2	14.3302
2020	3	1	32	3-3	13.9642
2020	3	1	26	3-4	12.2313
2020	3	1	24	3-5	14.0201
2020	3	1	24	3-6	13.161
2020	3	1	26	3-7	12.4154
2020	3	1	30	3-8	13.2131
2020	4	1	26	4-1	7.8762
2020	4	1	32	4-2	8.6737
2020	4	1	30	4-3	8.4357
2020	4	1	24	4-4	9.0411
2020	4	1	28	4-5	8.9671
2020	4	1	32	4-6	8.3461
2020	4	1	24	4-7	8.355
2020	4	1	30	4-8	8.8797
2020	4	1	26	4-9	9.1045
2020	4	1	28	4-10	9.3336
