Year	Clutch	HatchlingID	HatchlingNumber	EggMass	IncTemp	MaxIncLength	ScaledDevMaxIncLength	AgeAtTrials	WinterHous	DaysWintHous	SCL2	CW2	PL2	PW2	BD2	NV2	VT2	Mass2	Round	RRTimeSec	LatencySec	ActiveRRTimeSec	RRTimeMin	LatencyMin	ActiveRRTimeMin
2019	1	1	1-1	11.99	32	54	-1.1348	262	Terrestrial	151	34.49	35.47	33.99	28.21	15.79	1.9	9.83	8.1483	1	541	358	183	9.016666667	5.966666667	3.05
2019	1	1	1-1	11.99	32	54	-1.1348	262	Terrestrial	151	34.49	35.47	33.99	28.21	15.79	1.9	9.83	8.1483	2	515	160	355	8.583333333	2.666666667	5.916666667
2019	1	1	1-1	11.99	32	54	-1.1348	262	Terrestrial	151	34.49	35.47	33.99	28.21	15.79	1.9	9.83	8.1483	3	336	1	335	5.6	0.016666667	5.583333333
2019	1	2	1-3	11.7238	24	105	-0.1615	210	Terrestrial	151	32.94	36.07	30.41	27.92	16.35	3.91	11.35	8.1154	1	NA	267	NA	NA	4.45	NA
2019	1	2	1-3	11.7238	24	105	-0.1615	210	Terrestrial	151	32.94	36.07	30.41	27.92	16.35	3.91	11.35	8.1154	2	671	283	388	11.18333333	4.716666667	6.466666667
2019	1	2	1-3	11.7238	24	105	-0.1615	210	Terrestrial	151	32.94	36.07	30.41	27.92	16.35	3.91	11.35	8.1154	3	331	123	208	5.516666667	2.05	3.466666667
2019	1	3	1-5	11.5511	28	68	-0.1555	246	Aquatic	186	42.53	42.59	37.65	31.48	20.49	5.34	11.61	16.7187	1	764	503	261	12.73333333	8.383333333	4.35
2019	1	3	1-5	11.5511	28	68	-0.1555	246	Aquatic	186	42.53	42.59	37.65	31.48	20.49	5.34	11.61	16.7187	2	392	250	142	6.533333333	4.166666667	2.366666667
2019	1	3	1-5	11.5511	28	68	-0.1555	246	Aquatic	186	42.53	42.59	37.65	31.48	20.49	5.34	11.61	16.7187	3	265	199	66	4.416666667	3.316666667	1.1
2019	1	4	1-6	9.8194	30	60	-0.8242	257	Aquatic	214	42.61	43.07	37.09	33.28	20.95	2.02	10.5	17.5311	1	NA	355	NA	NA	5.916666667	NA
2019	1	4	1-6	9.8194	30	60	-0.8242	257	Aquatic	214	42.61	43.07	37.09	33.28	20.95	2.02	10.5	17.5311	2	NA	231	NA	NA	3.85	NA
2019	1	4	1-6	9.8194	30	60	-0.8242	257	Aquatic	214	42.61	43.07	37.09	33.28	20.95	2.02	10.5	17.5311	3	510	376	134	8.5	6.266666667	2.233333333
2019	1	5	1-7	11.7527	26	85	-0.3668	231	Aquatic	214	34.14	35.4	32.46	26.81	16.55	2.61	9.6	9.2239	1	512	442	70	8.533333333	7.366666667	1.166666667
