Year	Clutch	HatchlingNumber	HatchlingID	IncTemp	IncLength	MaxIncLength	ScaledDevMaxIncLength
2019	1	1	1-1	32	51	54	-1.1348
2019	1	2	1-3	24	103	105	-0.1615
2019	1	3	1-5	28	67	68	-0.1555
2019	1	4	1-6	30	56	60	-0.8242
2019	1	5	1-7	26	82	85	-0.3668
2019	1	6	1-8	26	80	85	-0.6113
2019	2	7	2-2	30	56	60	-0.8242
2019	2	8	2-4	26	80	85	-0.6113
2019	2	9	2-5	28	65	68	-0.4665
2019	2	10	2-6	24	101	105	-0.323
2019	3	11	3-1	32	54	54	0
2019	3	12	3-2	26	82	85	-0.3668
2019	3	13	3-3	30	60	60	0
2019	3	14	3-4	28	67	68	-0.1555
2019	3	15	3-5	30	59	60	-0.206
2019	3	16	3-6	24	103	105	-0.1615
2019	3	17	3-7	28	64	68	-0.622
2019	3	18	3-8	32	52	54	-0.7565
2019	3	19	3-9	24	101	105	-0.323
2019	3	20	3-10	26	80	85	-0.6113
2019	4	21	4-1	32	51	54	-1.1348
2019	4	22	4-2	30	57	60	-0.6181
2019	4	23	4-4	24	104	105	-0.0808
2019	4	24	4-5	28	65	68	-0.4665
2019	4	25	4-6	32	50	54	-1.513
2019	4	26	4-7	28	66	68	-0.311
2019	4	27	4-8	24	101	105	-0.323
2019	4	28	4-9	26	80	85	-0.6113
2019	5	29	5-1	30	55	60	-1.0302
2019	5	30	5-2	24	95	105	-0.8075
2019	6	31	6-2	28	63	68	-0.7774
2019	6	32	6-4	24	98	105	-0.5653
2019	6	33	6-5	32	48	54	-2.2696
2019	7	34	7-1	24	105	105	0
2019	7	35	7-2	28	66	68	-0.311
2019	7	36	7-3	30	60	60	0
2019	7	37	7-4	32	51	54	-1.1348
2019	7	38	7-5	26	83	85	-0.2445
2019	7	39	7-7	28	68	68	0
2019	7	40	7-8	24	101	105	-0.323
2019	8	41	8-1	30	41	60	-3.9148
2019	8	42	8-2	28	47	68	-3.2652
2019	8	43	8-3	24	67	105	-3.0686
2019	8	44	8-5	26	58	85	-3.3012
2019	8	45	8-6	24	66	105	-3.1494
2019	8	46	8-7	28	47	68	-3.2652
2019	8	47	8-8	26	56	85	-3.5457
2019	9	48	9-1	32	43	54	-4.1609
2019	9	49	9-2	30	44	60	-3.2967
2019	9	50	9-3	26	62	85	-2.8121
2019	9	51	9-4	28	51	68	-2.6433
2019	9	52	9-5	24	74	105	-2.5034
2019	9	53	9-6	24	72	105	-2.6649
2019	10	54	10-1	28	65	68	-0.4665
2019	10	55	10-2	24	98	105	-0.5653
2019	10	56	10-4	26	85	85	0
2019	10	57	10-5	30	56	60	-0.8242
2019	10	58	10-6	24	100	105	-0.4038
2019	10	59	10-7	26	79	85	-0.7336
2019	10	60	10-8	30	56	60	-0.8242
2019	10	61	10-9	32	51	54	-1.1348
2019	11	62	11-1	30	54	60	-1.2362
2019	11	63	11-2	28	63	68	-0.7774
2019	11	64	11-3	26	79	85	-0.7336
2019	11	65	11-4	32	51	54	-1.1348
2019	11	66	11-5	24	96	105	-0.7268
2019	11	67	11-6	32	49	54	-1.8913
2019	11	68	11-8	26	79	85	-0.7336
2019	11	69	11-9	30	53	60	-1.4423
2020	12	70	2-1	32	48	54	-2.2696
2020	12	71	2-2	28	64	68	-0.622
2020	12	72	2-3	24	95	105	-0.8075
2020	12	73	2-4	26	76	85	-1.1004
2020	12	74	2-5	30	55	60	-1.0302
2020	12	75	2-6	30	56	60	-0.8242
2020	12	76	2-7	28	62	68	-0.9329
2020	12	77	2-8	26	76	85	-1.1004
2020	13	78	3-1	28	61	68	-1.0884
2020	13	79	3-2	30	53	60	-1.4423
2020	13	80	3-3	32	50	54	-1.513
2020	13	81	3-4	26	71	85	-1.7117
2020	13	82	3-5	24	90	105	-1.2113
2020	13	83	3-6	24	94	105	-0.8883
2020	13	84	3-7	26	70	85	-1.834
2020	13	85	3-8	30	53	60	-1.4423
2020	14	86	4-1	26	77	85	-0.9781
2020	14	87	4-4	24	97	105	-0.646
2020	14	88	4-5	28	65	68	-0.4665
2020	14	89	4-6	32	47	54	-2.6478
2020	14	90	4-8	30	56	60	-0.8242
2020	14	91	4-9	26	75	85	-1.2227
2020	14	92	4-10	28	65	68	-0.4665
